city,hour,total_events,total_revenue,avg_duration
NYC,2025-06-20 04:00:00,1,0.0,60.0
NYC,2025-06-20 06:00:00,1,0.0,60.0
NYC,2025-06-20 07:00:00,4,0.0,60.0
NYC,2025-06-20 09:00:00,1,0.0,60.0
NYC,2025-06-20 10:00:00,1,0.0,60.0
NYC,2025-06-20 11:00:00,1,0.0,60.0
NYC,2025-06-20 13:00:00,3,0.0,60.0
NYC,2025-06-20 14:00:00,2,0.0,60.0
NYC,2025-06-20 16:00:00,4,0.0,60.0
NYC,2025-06-20 17:00:00,1,0.0,60.0
NYC,2025-06-20 18:00:00,4,0.0,60.0
NYC,2025-06-20 19:00:00,3,0.0,60.0
NYC,2025-06-20 20:00:00,2,0.0,60.0
NYC,2025-06-20 21:00:00,2,0.0,60.0
NYC,2025-06-20 22:00:00,2,0.0,60.0
NYC,2025-06-21 02:00:00,7,0.0,60.0
NYC,2025-06-21 03:00:00,3,0.0,60.0
NYC,2025-06-21 04:00:00,1,0.0,60.0
NYC,2025-06-21 05:00:00,1,0.0,60.0
NYC,2025-06-21 06:00:00,2,0.0,60.0
NYC,2025-06-21 08:00:00,11,0.0,60.0
NYC,2025-06-21 09:00:00,6,0.0,60.0
NYC,2025-06-21 10:00:00,4,0.0,60.0
NYC,2025-06-21 11:00:00,1,0.0,60.0
NYC,2025-06-21 12:00:00,2,0.0,60.0
NYC,2025-06-21 13:00:00,6,0.0,60.0
NYC,2025-06-21 14:00:00,1,0.0,60.0
NYC,2025-06-21 15:00:00,1,0.0,60.0
NYC,2025-06-21 16:00:00,2,0.0,60.0
NYC,2025-06-21 17:00:00,1,0.0,60.0
NYC,2025-06-21 18:00:00,3,0.0,60.0
NYC,2025-06-21 19:00:00,4,0.0,60.0
NYC,2025-06-21 20:00:00,19,0.0,60.0
NYC,2025-06-21 21:00:00,14,0.0,60.0
NYC,2025-06-21 22:00:00,1,0.0,60.0
NYC,2025-06-21 23:00:00,3,0.0,60.0
NYC,2025-06-22 00:00:00,4,0.0,60.0
NYC,2025-06-22 01:00:00,4,0.0,60.0
NYC,2025-06-22 02:00:00,1,0.0,60.0
NYC,2025-06-22 04:00:00,2,0.0,60.0
NYC,2025-06-22 06:00:00,1,0.0,60.0
NYC,2025-06-22 07:00:00,3,0.0,60.0
NYC,2025-06-22 08:00:00,2,0.0,60.0
NYC,2025-06-22 09:00:00,7,0.0,60.0
NYC,2025-06-22 10:00:00,6,0.0,60.0
NYC,2025-06-22 11:00:00,1,0.0,60.0
NYC,2025-06-22 12:00:00,3,0.0,60.0
NYC,2025-06-22 13:00:00,1,0.0,60.0
NYC,2025-06-22 14:00:00,2,0.0,60.0
NYC,2025-06-22 15:00:00,2,0.0,60.0
NYC,2025-06-22 16:00:00,2,0.0,60.0
NYC,2025-06-22 17:00:00,6,0.0,60.0
NYC,2025-06-22 18:00:00,1,0.0,60.0
NYC,2025-06-22 19:00:00,2,0.0,60.0
NYC,2025-06-22 20:00:00,24,0.0,60.0
NYC,2025-06-22 21:00:00,2,0.0,60.0
NYC,2025-06-22 22:00:00,2,0.0,60.0
NYC,2025-06-22 23:00:00,1,0.0,60.0
NYC,2025-06-23 00:00:00,3,0.0,60.0
NYC,2025-06-23 01:00:00,3,0.0,60.0
NYC,2025-06-23 03:00:00,3,0.0,60.0
NYC,2025-06-23 04:00:00,2,0.0,60.0
NYC,2025-06-23 06:00:00,3,0.0,60.0
NYC,2025-06-23 07:00:00,5,0.0,60.0
NYC,2025-06-23 08:00:00,5,0.0,60.0
NYC,2025-06-23 09:00:00,3,0.0,60.0
NYC,2025-06-23 10:00:00,1,0.0,60.0
NYC,2025-06-23 12:00:00,1,0.0,60.0
NYC,2025-06-23 13:00:00,4,0.0,60.0
NYC,2025-06-23 14:00:00,2,0.0,60.0
NYC,2025-06-23 16:00:00,1,0.0,60.0
NYC,2025-06-23 19:00:00,1,0.0,60.0
NYC,2025-06-23 20:00:00,4,0.0,60.0
NYC,2025-06-24 00:00:00,4,0.0,60.0
NYC,2025-06-24 01:00:00,4,0.0,60.0
NYC,2025-06-24 02:00:00,2,0.0,60.0
NYC,2025-06-24 04:00:00,1,0.0,60.0
NYC,2025-06-24 07:00:00,2,0.0,60.0
NYC,2025-06-24 08:00:00,3,0.0,60.0
NYC,2025-06-24 09:00:00,4,0.0,60.0
NYC,2025-06-24 10:00:00,1,0.0,60.0
NYC,2025-06-24 11:00:00,4,0.0,60.0
NYC,2025-06-24 16:00:00,1,0.0,60.0
NYC,2025-06-24 19:00:00,1,0.0,60.0
NYC,2025-06-24 20:00:00,5,0.0,60.0
NYC,2025-06-24 23:00:00,1,0.0,60.0
NYC,2025-06-25 00:00:00,4,0.0,60.0
NYC,2025-06-25 01:00:00,4,0.0,60.0
NYC,2025-06-25 03:00:00,1,0.0,60.0
NYC,2025-06-25 06:00:00,2,0.0,60.0
NYC,2025-06-25 09:00:00,1,0.0,60.0
NYC,2025-06-25 10:00:00,4,0.0,60.0
NYC,2025-06-25 11:00:00,1,0.0,60.0
NYC,2025-06-25 12:00:00,1,0.0,60.0
NYC,2025-06-25 13:00:00,1,0.0,60.0
NYC,2025-06-25 15:00:00,2,0.0,60.0
NYC,2025-06-25 17:00:00,2,0.0,60.0
NYC,2025-06-25 18:00:00,1,0.0,60.0
NYC,2025-06-25 19:00:00,2,0.0,60.0
NYC,2025-06-25 20:00:00,2,0.0,60.0
NYC,2025-06-25 21:00:00,5,0.0,60.0
NYC,2025-06-25 22:00:00,3,0.0,60.0
NYC,2025-06-25 23:00:00,3,0.0,60.0
NYC,2025-06-26 00:00:00,1,0.0,60.0
NYC,2025-06-26 01:00:00,2,0.0,60.0
NYC,2025-06-26 02:00:00,2,0.0,60.0
NYC,2025-06-26 04:00:00,1,0.0,60.0
NYC,2025-06-26 05:00:00,2,0.0,60.0
NYC,2025-06-26 06:00:00,2,0.0,60.0
NYC,2025-06-26 07:00:00,5,0.0,60.0
NYC,2025-06-26 08:00:00,7,0.0,60.0
NYC,2025-06-26 09:00:00,2,0.0,60.0
NYC,2025-06-26 10:00:00,1,0.0,60.0
NYC,2025-06-26 11:00:00,1,0.0,60.0
NYC,2025-06-26 12:00:00,1,0.0,60.0
NYC,2025-06-26 13:00:00,1,0.0,60.0
NYC,2025-06-26 14:00:00,5,0.0,60.0
NYC,2025-06-26 15:00:00,1,0.0,60.0
NYC,2025-06-26 16:00:00,2,0.0,60.0
NYC,2025-06-26 17:00:00,1,0.0,60.0
NYC,2025-06-26 18:00:00,1,0.0,60.0
NYC,2025-06-26 19:00:00,5,0.0,60.0
NYC,2025-06-26 20:00:00,3,0.0,60.0
NYC,2025-06-26 21:00:00,5,0.0,60.0
NYC,2025-06-26 22:00:00,6,0.0,60.0
NYC,2025-06-26 23:00:00,2,0.0,60.0
NYC,2025-06-27 00:00:00,4,0.0,60.0
NYC,2025-06-27 01:00:00,3,0.0,60.0
NYC,2025-06-27 02:00:00,1,0.0,60.0
NYC,2025-06-27 04:00:00,2,0.0,60.0
NYC,2025-06-27 05:00:00,4,0.0,60.0
NYC,2025-06-27 06:00:00,3,0.0,60.0
NYC,2025-06-27 07:00:00,3,0.0,60.0
NYC,2025-06-27 08:00:00,2,0.0,60.0
NYC,2025-06-27 09:00:00,3,0.0,60.0
NYC,2025-06-27 11:00:00,1,0.0,60.0
NYC,2025-06-27 12:00:00,1,0.0,60.0
NYC,2025-06-27 15:00:00,4,0.0,60.0
NYC,2025-06-27 16:00:00,1,0.0,60.0
NYC,2025-06-27 17:00:00,6,0.0,60.0
NYC,2025-06-27 18:00:00,3,0.0,60.0
NYC,2025-06-27 19:00:00,2,0.0,60.0
NYC,2025-06-27 20:00:00,2,0.0,60.0
NYC,2025-06-27 21:00:00,2,0.0,60.0
NYC,2025-06-27 22:00:00,6,0.0,60.0
NYC,2025-06-27 23:00:00,2,0.0,60.0
NYC,2025-06-28 00:00:00,1,0.0,60.0
NYC,2025-06-28 01:00:00,5,0.0,60.0
NYC,2025-06-28 02:00:00,4,0.0,60.0
NYC,2025-06-28 04:00:00,1,0.0,60.0
NYC,2025-06-28 07:00:00,1,0.0,60.0
NYC,2025-06-28 08:00:00,2,0.0,60.0
NYC,2025-06-28 09:00:00,2,0.0,60.0
NYC,2025-06-28 10:00:00,8,0.0,60.0
NYC,2025-06-28 11:00:00,3,0.0,60.0
NYC,2025-06-28 12:00:00,4,0.0,60.0
NYC,2025-06-28 13:00:00,2,0.0,60.0
NYC,2025-06-28 14:00:00,2,0.0,60.0
NYC,2025-06-28 15:00:00,1,0.0,60.0
NYC,2025-06-28 16:00:00,2,0.0,60.0
NYC,2025-06-28 17:00:00,5,0.0,60.0
NYC,2025-06-28 18:00:00,2,0.0,60.0
NYC,2025-06-28 19:00:00,5,0.0,60.0
NYC,2025-06-28 20:00:00,13,0.0,60.0
NYC,2025-06-28 21:00:00,6,0.0,60.0
NYC,2025-06-28 22:00:00,4,0.0,60.0
